,date,close,date,close
454,2014-11-26,66.7183333333,2014-11-26,86.573
455,2014-11-28,67.1355555556,2014-11-28,86.787
456,2014-12-01,66.3138888889,2014-12-01,85.922
457,2014-12-02,66.2022222222,2014-12-02,86.364
458,2014-12-03,66.6422222222,2014-12-03,86.945
459,2014-12-04,66.4755555556,2014-12-04,87.071
460,2014-12-05,66.5572222222,2014-12-05,87.41
461,2014-12-08,65.9977777778,2014-12-08,86.828
462,2014-12-09,65.9077777778,2014-12-09,86.668
463,2014-12-10,64.8477777778,2014-12-10,85.108
464,2014-12-11,65.1988888889,2014-12-11,86.175
465,2014-12-12,64.5227777778,2014-12-12,85.264
466,2014-12-15,64.5422222222,2014-12-15,84.822
467,2014-12-16,64.07,2014-12-16,84.719
468,2014-12-17,64.7116666667,2014-12-17,85.492
469,2014-12-18,66.3533333333,2014-12-18,87.607
470,2014-12-19,66.5077777778,2014-12-19,88.198
471,2014-12-22,67.0377777778,2014-12-22,88.59
472,2014-12-23,67.1816666667,2014-12-23,89.312
473,2014-12-24,66.9411111111,2014-12-24,89.186
474,2014-12-26,66.7888888889,2014-12-26,89.36
475,2014-12-29,66.6422222222,2014-12-29,89.493
476,2014-12-30,66.3327777778,2014-12-30,89.118
477,2014-12-31,65.6866666667,2014-12-31,88.304
478,2015-01-02,65.6133333333,2015-01-02,88.222
479,2015-01-05,64.8205555556,2015-01-05,86.64
480,2015-01-06,64.0588888889,2015-01-06,85.591
481,2015-01-07,64.9272222222,2015-01-07,86.592
482,2015-01-08,66.1433333333,2015-01-08,87.861
483,2015-01-09,66.0944444444,2015-01-09,86.818
484,2015-01-12,65.26,2015-01-12,85.896
485,2015-01-13,65.15,2015-01-13,85.562
486,2015-01-14,64.5483333333,2015-01-14,84.82
487,2015-01-15,63.7161111111,2015-01-15,84.347
488,2015-01-16,64.5077777778,2015-01-16,85.372
489,2015-01-20,64.2822222222,2015-01-20,85.388
490,2015-01-21,64.7261111111,2015-01-21,85.714
491,2015-01-22,66.3538888889,2015-01-22,86.489
492,2015-01-23,66.295,2015-01-23,85.399
493,2015-01-26,66.38,2015-01-26,84.402
494,2015-01-27,65.6861111111,2015-01-27,83.553
495,2015-01-28,65.0122222222,2015-01-28,82.642
496,2015-01-29,65.5066666667,2015-01-29,83.624
497,2015-01-30,64.0222222222,2015-01-30,82.3
498,2015-02-02,64.7244444444,2015-02-02,83.723
499,2015-02-03,65.49,2015-02-03,85.025
500,2015-02-04,66.2233333333,2015-02-04,83.67
501,2015-02-05,66.605,2015-02-05,84.146
502,2015-02-06,66.7716666667,2015-02-06,84.153
503,2015-02-09,66.5855555556,2015-02-09,83.732
504,2015-02-10,67.5622222222,2015-02-10,84.347
505,2015-02-11,67.77,2015-02-11,84.347
506,2015-02-12,68.0361111111,2015-02-12,84.473
507,2015-02-13,68.5655555556,2015-02-13,84.531
508,2015-02-17,68.65,2015-02-17,84.301
509,2015-02-18,68.7955555556,2015-02-18,84.475
510,2015-02-19,69.1077777778,2015-02-19,84.247
511,2015-02-20,69.65,2015-02-20,84.711
512,2015-02-23,69.4155555556,2015-02-23,84.67
513,2015-02-24,69.3022222222,2015-02-24,85.009
514,2015-02-25,69.5822222222,2015-02-25,85.158
515,2015-02-26,70.0072222222,2015-02-26,85.292
516,2015-02-27,70.4716666667,2015-02-27,85.054
517,2015-03-02,71.1144444444,2015-03-02,85.745
518,2015-03-03,70.2205555556,2015-03-03,85.671
519,2015-03-04,70.4822222222,2015-03-04,84.521
520,2015-03-05,70.3161111111,2015-03-05,84.99
